Subject, Condition, Stim1, Stim2, RT, Correct, Item
AMP,Orientation_NO_Lines,None,Absent,798.22,1,385
AMP,Orientation_NO_Lines,UpRight,DownLeft,549.34,1,159
AMP,Orientation_NO_Lines,UpRight,Absent,679.12,1,889
AMP,Orientation_NO_Lines,None,Absent,727.69,1,454
AMP,Orientation_NO_Lines,Absent,UpLeft,687.23,1,1148
AMP,Orientation_NO_Lines,DownRight,UpLeft,426.61,0,171
AMP,Orientation_NO_Lines,Absent,UpLeft,670.87,1,838
AMP,Orientation_NO_Lines,Absent,UpLeft,1044.29,1,824
AMP,Orientation_NO_Lines,None,Absent,474.48,0,427
AMP,Orientation_NO_Lines,DownRight,DownRight,573.93,1,343
AMP,Orientation_NO_Lines,None,Absent,632.29,1,404
AMP,Orientation_NO_Lines,UpRight,Absent,587.91,1,605
AMP,Orientation_NO_Lines,DownLeft,DownLeft,580.71,1,286
AMP,Orientation_NO_Lines,Absent,UpLeft,591.12,1,847
AMP,Orientation_NO_Lines,UpRight,UpRight,605.45,1,272
AMP,Orientation_NO_Lines,None,Absent,525.84,1,430
AMP,Orientation_NO_Lines,UpRight,Absent,485.38,1,634
AMP,Orientation_NO_Lines,UpRight,DownLeft,1166.03,1,126
AMP,Orientation_NO_Lines,UpLeft,UpLeft,742.01,1,374
AMP,Orientation_NO_Lines,UpRight,Absent,448.12,1,595
AMP,Orientation_NO_Lines,DownRight,Absent,522.14,1,762
AMP,Orientation_NO_Lines,DownRight,Absent,449.37,1,1030
AMP,Orientation_NO_Lines,Absent,None,325.74,1,559
AMP,Orientation_NO_Lines,UpRight,DownLeft,424.22,0,113
AMP,Orientation_NO_Lines,UpRight,Absent,737.95,1,623
AMP,Orientation_NO_Lines,None,None,531.15,0,53
AMP,Orientation_NO_Lines,Absent,UpLeft,751.93,1,1133
AMP,Orientation_NO_Lines,Absent,UpRight,490.33,1,921
AMP,Orientation_NO_Lines,UpLeft,Absent,699.37,0,1088
