# subject, trial_id, rt, incorrect
1,273,605.08,0
1,287,524.49,0
1,377,523.17,0
1,381,576.63,0
1,285,1039.07,1
1,327,718.77,0
1,241,991.42,1
1,211,849.20,0
1,237,902.66,0
1,316,569.63,0
1,311,656.38,0
1,367,862.48,0
1,214,734.93,0
1,389,752.20,0
1,304,704.87,0
1,346,737.80,0
1,376,787.34,0
1,295,952.36,0
1,374,784.68,0
1,230,947.73,0
1,351,661.69,0
1,231,851.14,0
1,204,776.44,0
1,256,990.37,0
1,292,844.24,0
1,339,666.78,0
1,396,802.44,0
1,294,731.63,0
1,261,591.38,0
1,220,671.26,0
1,306,550.57,0
1,210,925.94,0
1,390,709.36,0
1,225,1011.33,0
1,368,910.22,0
1,343,987.16,0
1,234,831.25,0
1,400,786.85,0
1,264,866.74,0
1,301,880.09,0
1,271,839.62,0
1,233,942.02,0
1,337,1655.93,0
1,328,670.29,0
1,229,785.39,0
1,354,680.34,0
1,353,549.88,0
1,321,665.95,0
1,272,616.69,0
1,391,634.94,0
1,345,668.83,0
1,332,584.33,0
1,240,533.10,1
1,226,1473.04,0
1,342,1126.33,0
1,217,1243.39,0
1,305,1058.12,0
1,245,1529.38,0
1,388,1205.17,1
1,255,723.43,0
1,228,1068.48,0
1,251,619.03,0
1,227,583.44,0
1,243,477.42,0
1,317,643.42,0
1,360,1027.59,1
1,357,1360.88,0
1,221,640.41,0
1,361,956.11,0
1,282,681.80,0
1,341,760.69,0
1,298,1048.01,0
1,269,827.50,0
1,257,925.01,0
1,249,891.38,0
1,326,809.82,0
1,209,903.40,0
1,219,885.45,0
1,224,622.88,0
1,203,804.53,0
1,252,530.20,0
1,344,827.30,0
1,365,921.87,0
1,218,1272.78,0
1,348,634.49,0
1,384,813.19,0
1,260,840.23,0
1,280,861.43,0
1,373,1357.13,0
1,205,745.26,0
1,302,682.31,0
1,277,548.89,0
1,322,780.43,0
1,293,727.25,0
1,266,805.18,0
1,299,570.97,0
1,325,728.17,0
1,288,565.40,0
1,206,701.05,0
1,247,507.96,0
1,334,663.17,0
1,366,752.85,0
1,213,1008.85,0
1,312,2000.00,1
1,333,753.77,0
1,212,723.09,0
1,393,896.90,0
1,335,602.05,0
1,394,756.29,0
1,352,727.57,0
1,284,647.97,0
1,300,615.34,0
1,279,602.27,0
1,291,583.32,0
1,274,615.28,0
1,259,489.68,0
1,289,494.23,0
1,297,528.13,0
1,201,386.87,0
1,246,377.74,0
1,382,728.65,0
1,232,517.92,0
1,372,735.78,0
1,216,528.00,0
1,338,691.04,0
1,222,515.56,0
1,359,839.06,0
1,283,599.00,0
1,398,715.10,0
1,331,839.00,0
1,235,515.78,0
1,258,1032.04,0
1,290,651.07,0
1,385,849.37,0
1,268,752.15,0
1,314,790.93,0
1,310,931.47,0
1,236,648.36,0
1,276,813.36,0
1,397,997.94,0
1,239,849.86,0
1,270,668.50,0
1,383,688.69,0
1,208,723.57,0
1,363,854.32,0
1,375,927.36,0
1,349,1004.31,0
1,215,961.89,0
1,350,783.45,0
1,340,820.30,0
1,307,727.97,0
1,315,757.95,0
1,265,649.97,0
1,395,595.82,0
1,355,685.49,0
1,362,633.28,0
1,248,625.09,0
1,370,845.88,0
1,329,870.98,0
1,296,896.07,0
1,392,1092.37,0
1,207,775.02,0
1,238,738.47,0
1,262,471.99,0
1,324,1504.85,0
1,320,893.96,0
1,336,695.98,0
1,242,536.15,0
1,358,694.31,1
1,202,581.44,0
1,267,510.64,0
1,309,601.29,0
1,281,515.82,0
1,253,944.99,0
1,347,635.47,0
1,303,622.40,0
1,369,602.48,0
1,364,627.57,0
1,313,606.68,0
1,323,565.23,0
1,278,747.86,0
1,308,648.69,0
1,371,920.33,0
1,378,792.80,0
1,387,710.27,0
1,244,801.89,0
1,356,675.32,0
1,250,784.55,0
1,330,645.28,0
1,263,708.53,0
1,254,484.12,0
1,223,922.11,0
1,386,655.63,0
1,318,770.72,0
1,286,712.66,0
1,319,691.75,0
1,399,1190.42,0
1,275,518.85,0
1,380,760.18,0
1,379,592.53,0
1,742,823.01,1
1,721,654.37,0
1,638,736.21,0
1,636,569.53,0
1,629,508.52,0
1,702,633.41,0
1,705,599.78,0
1,720,575.96,0
1,761,1140.18,0
1,673,720.07,0
1,624,583.72,0
1,622,427.81,0
1,743,497.91,0
1,730,528.87,0
1,794,692.89,0
1,722,626.01,0
1,681,602.19,0
1,670,508.89,0
1,780,618.13,0
1,755,906.41,0
1,677,1441.27,0
1,603,1031.95,0
1,663,672.51,0
1,768,527.36,0
1,791,746.17,0
1,776,697.89,0
1,691,687.76,0
1,635,615.99,0
1,610,556.92,0
1,696,571.25,0
1,650,533.72,0
1,785,553.93,0
1,770,612.28,0
1,684,978.86,0
1,651,676.18,0
1,769,595.60,0
1,714,591.34,0
1,795,697.64,0
1,735,771.65,0
1,642,815.34,0
1,752,1110.48,0
1,772,631.68,0
1,660,725.26,0
1,774,1028.23,0
1,608,858.61,0
1,716,889.58,0
1,602,1393.12,0
1,693,1393.75,0
1,799,715.35,0
1,709,571.16,0
1,718,555.17,0
1,740,497.10,0
1,767,560.33,0
1,687,649.04,0
1,749,540.09,0
1,731,570.06,0
1,746,532.53,0
1,655,639.81,0
1,601,675.68,0
1,682,558.88,0
1,734,609.43,0
1,723,988.72,0
1,675,610.69,0
1,683,776.68,0
1,724,673.60,0
1,748,637.04,0
1,759,670.95,0
1,666,564.93,0
1,686,607.63,0
1,654,812.74,0
1,726,628.46,0
1,741,618.33,0
1,631,844.98,0
1,775,574.59,0
1,751,1222.94,0
1,685,858.62,0
1,671,889.59,0
1,754,809.97,0
1,645,967.16,0
1,606,559.77,0
1,715,647.49,0
1,662,823.25,0
1,618,748.56,0
1,792,616.12,0
1,605,680.34,0
1,678,506.81,0
1,753,570.06,0
1,672,433.72,0
1,661,778.77,0
1,643,859.63,0
1,649,568.69,0
1,617,477.33,0
1,668,547.44,0
1,647,548.08,0
1,727,759.06,0
1,756,736.22,0
1,609,618.46,0
1,763,638.65,0
1,758,687.23,0
1,623,686.89,0
1,674,952.67,0
1,664,706.72,0
1,620,533.19,0
1,738,643.42,0
1,697,608.84,0
1,779,571.29,0
1,652,512.25,0
1,783,609.74,0
1,627,839.32,0
1,611,1173.60,0
1,613,1029.44,0
1,710,530.07,0
1,612,949.49,0
1,760,612.55,0
1,628,801.05,0
1,698,512.07,0
1,653,379.63,0
1,747,512.35,0
1,739,830.97,0
1,614,738.65,0
1,633,607.19,0
